Index,m/z,RT [min],Molecular Weight,Calibration RT [min]
3356,614.45532,21.047,615.4626,21.047
3357,614.52875,0.821,615.53602,0.821
3358,614.56079,0.708,615.56807,0.708
3359,614.58795,0.729,615.59523,0.729
3360,615.26746,13.656,616.27473,13.656
3361,615.53864,17.761,616.54591,17.761
3362,615.58649,0.731,616.59376,0.731
3363,615.7771,22.938,616.78438,22.938
3364,615.89813,0.795,616.90541,0.795
3365,616.00983,10.58,617.0171,10.58
3366,616.2735,10.505,617.28078,10.505
3367,616.47083,21.959,617.4781,21.959
3368,616.5545,0.711,617.56178,0.711
3369,616.58649,0.733,617.59376,0.733
3370,617.5528,0.715,618.56007,0.715
3371,617.901,0.613,309.45414,0.613
3372,618.22974,14.631,1238.47403,14.631
3373,618.48669,22.612,619.49397,22.612
3374,618.54993,0.712,619.5572,0.712
3375,618.88458,0.61,309.94593,0.61
3376,619.21228,15.11,620.21956,15.11
3377,619.22351,10.52,620.23079,10.52
3378,619.24805,10.51,620.25532,10.51
3379,619.28613,20.463,620.29341,20.463
3380,619.28864,16.228,620.29591,16.228
3381,619.43408,22.206,620.44136,22.206
3382,619.55157,0.706,620.55885,0.706
3383,619.565,0.725,620.57228,0.725
3384,619.92676,0.793,620.93403,0.793
3385,620.20789,9.303,621.21516,9.303
3386,620.35437,18.867,621.36165,18.867
3387,620.45624,21.418,621.46351,21.418
3388,620.56244,0.717,621.56972,0.717
3389,620.57703,0.729,621.5843,0.729
3390,620.59869,20.77,621.60597,20.77
3391,620.75702,0.767,621.7643,0.767
3392,621.09503,15.775,622.10231,15.775
3393,621.25464,14.634,622.26192,14.634
3394,621.30176,17.503,622.30903,17.503
3395,621.30176,20.553,622.30903,20.553
3396,621.30188,21.151,622.30916,21.151
3397,621.30402,16.75,622.31129,16.75
